transaction_id,employee_id,vendor_id,transaction_date,category,currency,amount_minor,cost_center,receipt_present
TX0001,EMP009,V004,2026-03-21,travel,EUR,4778,CC_TECH,True
TX0002,EMP014,V001,2026-08-05,travel,EUR,78897,CC_FINANCE,True
TX0003,EMP020,V001,2026-07-07,meals,EUR,67737,CC_TECH,False
TX0004,EMP009,V001,2026-07-06,office,EUR,78736,CC_TECH,False
TX0005,EMP007,V006,2026-06-05,accommodation,EUR,21879,CC_FINANCE,True
TX0006,EMP012,V010,2026-05-26,travel,EUR,48552,CC_SALES,True
TX0007,EMP003,V009,2026-05-06,travel,EUR,51115,CC_SALES,True
TX0008,EMP002,V004,2026-04-06,meals,EUR,10616,CC_SALES,True
TX0009,EMP009,V008,2026-07-03,travel,EUR,51323,CC_SALES,True
TX0010,EMP009,V002,2026-05-29,accommodation,EUR,28960,CC_TECH,True
TX0011,EMP009,V009,2026-07-21,office,EUR,51235,CC_TECH,True
TX0012,EMP011,V007,2026-08-17,meals,EUR,5707,CC_SALES,True
TX0013,EMP016,V007,2026-07-08,accommodation,EUR,29369,CC_HR,True
TX0014,EMP018,V009,2026-06-25,meals,EUR,33825,CC_SALES,False
TX0015,EMP008,V003,2026-04-04,office,EUR,48947,CC_HR,True
TX0016,EMP006,V007,2026-08-19,travel,EUR,21533,CC_FINANCE,False
TX0017,EMP009,V009,2026-05-26,office,EUR,70852,CC_FINANCE,True
TX0018,EMP004,V005,2026-03-10,accommodation,EUR,46087,CC_HR,True
TX0019,EMP017,V003,2026-05-07,travel,EUR,36022,CC_FINANCE,True
TX0020,EMP012,V003,2026-03-21,meals,EUR,21532,CC_FINANCE,True
TX0021,EMP012,V005,2026-04-28,travel,EUR,16162,CC_TECH,True
TX0022,EMP016,V002,2026-07-01,travel,EUR,12726,CC_TECH,True
TX0023,EMP006,V005,2026-03-16,office,EUR,73563,CC_HR,True
TX0024,EMP013,V006,2026-04-15,meals,EUR,42357,CC_HR,False
TX0025,EMP003,V006,2026-08-01,meals,EUR,30951,CC_FINANCE,True
TX0026,EMP003,V001,2026-04-03,meals,EUR,2442,CC_TECH,True
TX0027,EMP017,V004,2026-08-23,accommodation,EUR,10787,CC_SALES,False
TX0028,EMP019,V008,2026-07-08,meals,EUR,76347,CC_TECH,False
TX0029,EMP004,V007,2026-05-19,meals,EUR,13863,CC_SALES,False
TX0030,EMP004,V001,2026-05-18,office,EUR,8600,CC_HR,True
TX0031,EMP007,V009,2026-08-04,meals,EUR,26612,CC_HR,True
TX0032,EMP015,V004,2026-05-15,meals,EUR,38009,CC_FINANCE,False
TX0033,EMP018,V001,2026-04-13,travel,EUR,8130,CC_FINANCE,True
TX0034,EMP016,V004,2026-07-20,office,EUR,65153,CC_HR,True
TX0035,EMP013,V005,2026-07-20,office,EUR,1782,CC_HR,True
TX0036,EMP007,V005,2026-05-15,office,EUR,21789,CC_TECH,True
TX0037,EMP002,V001,2026-04-05,travel,EUR,42604,CC_HR,True
TX0038,EMP003,V010,2026-08-17,travel,EUR,25856,CC_FINANCE,True
TX0039,EMP008,V010,2026-05-20,travel,EUR,76168,CC_FINANCE,True
TX0040,EMP007,V006,2026-05-16,accommodation,EUR,35679,CC_TECH,True
TX0041,EMP015,V006,2026-05-22,meals,EUR,40821,CC_FINANCE,True
TX0042,EMP018,V004,2026-05-06,travel,EUR,11102,CC_SALES,True
